timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544189691746,142,25 /favicon.ico,404,Not Found,Users 1-3,text,false,,528,364,5,5,http://newtours.demoaut.com/favicon.ico,142,0,0
1544189691658,533,26 /mercurysignoff.php,200,OK,Users 1-2,text,true,,8787,919,5,5,http://newtours.demoaut.com/mercurysignon.php,235,0,0
1544189691658,235,26 /mercurysignoff.php-0,302,Found,Users 1-2,text,true,,393,460,5,5,http://newtours.demoaut.com/mercurysignoff.php,235,0,0
1544189691893,298,26 /mercurysignoff.php-1,200,OK,Users 1-2,text,true,,8394,459,5,5,http://newtours.demoaut.com/mercurysignon.php,297,0,0
1544189691723,531,26 /mercurysignoff.php,200,OK,Users 1-1,text,true,,8823,919,5,5,http://newtours.demoaut.com/mercurysignon.php,236,0,0
1544189691723,236,26 /mercurysignoff.php-0,302,Found,Users 1-1,text,true,,393,460,5,5,http://newtours.demoaut.com/mercurysignoff.php,236,0,0
1544189691960,294,26 /mercurysignoff.php-1,200,OK,Users 1-1,text,true,,8430,459,5,5,http://newtours.demoaut.com/mercurysignon.php,292,0,0
1544189691816,505,26 /mercurysignoff.php,200,OK,Users 1-4,text,true,,8823,919,5,5,http://newtours.demoaut.com/mercurysignon.php,233,0,0
1544189691816,233,26 /mercurysignoff.php-0,302,Found,Users 1-4,text,true,,393,460,5,5,http://newtours.demoaut.com/mercurysignoff.php,233,0,0
1544189692049,272,26 /mercurysignoff.php-1,200,OK,Users 1-4,text,true,,8430,459,5,5,http://newtours.demoaut.com/mercurysignon.php,270,0,0
1544189691888,499,26 /mercurysignoff.php,200,OK,Users 1-3,text,true,,8823,919,5,5,http://newtours.demoaut.com/mercurysignon.php,235,0,0
1544189691888,235,26 /mercurysignoff.php-0,302,Found,Users 1-3,text,true,,393,460,5,5,http://newtours.demoaut.com/mercurysignoff.php,235,0,0
1544189692124,263,26 /mercurysignoff.php-1,200,OK,Users 1-3,text,true,,8430,459,5,5,http://newtours.demoaut.com/mercurysignon.php,261,0,0
1544189692255,141,29 /black,404,Not Found,Users 1-1,text,false,,522,354,5,5,http://newtours.demoaut.com/black,141,0,0
1544189692323,141,29 /black,404,Not Found,Users 1-4,text,false,,522,354,5,5,http://newtours.demoaut.com/black,141,0,0
1544189692192,286,29 /black,404,Not Found,Users 1-2,text,false,,523,354,5,5,http://newtours.demoaut.com/black,286,0,143
1544189692388,142,29 /black,404,Not Found,Users 1-3,text,false,,522,354,5,5,http://newtours.demoaut.com/black,142,0,0
1544189692478,143,28 /images/spacer.gif,404,Not Found,Users 1-2,text,false,,534,366,5,5,http://newtours.demoaut.com/images/spacer.gif,143,0,0
1544189692396,286,28 /images/spacer.gif,404,Not Found,Users 1-1,text,false,,535,366,5,5,http://newtours.demoaut.com/images/spacer.gif,286,0,143
1544189692465,283,28 /images/spacer.gif,404,Not Found,Users 1-4,text,false,,535,366,5,5,http://newtours.demoaut.com/images/spacer.gif,283,0,141
1544189692621,144,30 /favicon.ico,404,Not Found,Users 1-2,text,false,,528,364,5,5,http://newtours.demoaut.com/favicon.ico,144,0,0
1544189692530,285,28 /images/spacer.gif,404,Not Found,Users 1-3,text,false,,535,366,5,5,http://newtours.demoaut.com/images/spacer.gif,285,0,142
1544189692683,143,30 /favicon.ico,404,Not Found,Users 1-1,text,false,,528,364,5,5,http://newtours.demoaut.com/favicon.ico,143,0,0
1544189692748,142,30 /favicon.ico,404,Not Found,Users 1-4,text,false,,528,364,5,5,http://newtours.demoaut.com/favicon.ico,142,0,0
1544189692816,143,30 /favicon.ico,404,Not Found,Users 1-3,text,false,,528,364,5,5,http://newtours.demoaut.com/favicon.ico,143,0,0
1544189692765,517,1 /,200,OK,Users 1-2,text,true,,15094,387,5,5,http://www.newtours.demoaut.com/,375,0,143
1544189692827,518,1 /,200,OK,Users 1-1,text,true,,15094,387,5,5,http://www.newtours.demoaut.com/,378,0,140
1544189692891,524,1 /,200,OK,Users 1-4,text,true,,15094,387,5,5,http://www.newtours.demoaut.com/,382,0,143
1544189693282,143,4 /images/nav/logo.gif,200,OK,Users 1-2,bin,true,,2926,359,5,5,http://www.newtours.demoaut.com/images/nav/logo.gif,143,0,0
1544189692959,520,1 /,200,OK,Users 1-3,text,true,,15094,387,5,5,http://www.newtours.demoaut.com/,378,0,142
1544189693345,141,4 /images/nav/logo.gif,200,OK,Users 1-1,bin,true,,2926,359,5,5,http://www.newtours.demoaut.com/images/nav/logo.gif,141,0,0
1544189693416,143,4 /images/nav/logo.gif,200,OK,Users 1-4,bin,true,,2926,359,5,5,http://www.newtours.demoaut.com/images/nav/logo.gif,143,0,0
1544189693426,143,2 /images/btn_signin.gif,200,OK,Users 1-2,bin,true,,751,401,5,5,http://www.newtours.demoaut.com/images/btn_signin.gif?osCsid=5bba2f0ab8a265a8e6980f041540d71f,143,0,0
1544189693479,142,4 /images/nav/logo.gif,200,OK,Users 1-3,bin,true,,2926,359,5,5,http://www.newtours.demoaut.com/images/nav/logo.gif,142,0,0
1544189693487,140,2 /images/btn_signin.gif,200,OK,Users 1-1,bin,true,,751,401,5,5,http://www.newtours.demoaut.com/images/btn_signin.gif?osCsid=5bba2f0ab8a265a8e6980f041540d71f,140,0,0
1544189693559,144,2 /images/btn_signin.gif,200,OK,Users 1-4,bin,true,,751,401,5,5,http://www.newtours.demoaut.com/images/btn_signin.gif?osCsid=5bba2f0ab8a265a8e6980f041540d71f,144,0,0
1544189693569,143,3 /images/nav/html.gif,200,OK,Users 1-2,bin,true,,1451,359,5,5,http://www.newtours.demoaut.com/images/nav/html.gif,143,0,0
1544189693621,142,2 /images/btn_signin.gif,200,OK,Users 1-3,bin,true,,751,401,5,5,http://www.newtours.demoaut.com/images/btn_signin.gif?osCsid=5bba2f0ab8a265a8e6980f041540d71f,142,0,0
1544189693628,141,3 /images/nav/html.gif,200,OK,Users 1-1,bin,true,,1451,359,5,5,http://www.newtours.demoaut.com/images/nav/html.gif,141,0,0
1544189693703,143,3 /images/nav/html.gif,200,OK,Users 1-4,bin,true,,1451,359,5,5,http://www.newtours.demoaut.com/images/nav/html.gif,143,0,0
1544189693712,143,5 /images/spacer.gif,404,Not Found,Users 1-2,text,false,,534,357,5,5,http://www.newtours.demoaut.com/images/spacer.gif,143,0,0
1544189693764,141,3 /images/nav/html.gif,200,OK,Users 1-3,bin,true,,1451,359,5,5,http://www.newtours.demoaut.com/images/nav/html.gif,141,0,0
1544189693769,141,5 /images/spacer.gif,404,Not Found,Users 1-1,text,false,,534,357,5,5,http://www.newtours.demoaut.com/images/spacer.gif,141,0,0
1544189693846,144,5 /images/spacer.gif,404,Not Found,Users 1-4,text,false,,534,357,5,5,http://www.newtours.demoaut.com/images/spacer.gif,144,0,0
1544189693856,143,6 /black,404,Not Found,Users 1-2,text,false,,522,345,5,5,http://www.newtours.demoaut.com/black,143,0,0
1544189693906,141,5 /images/spacer.gif,404,Not Found,Users 1-3,text,false,,534,357,5,5,http://www.newtours.demoaut.com/images/spacer.gif,141,0,0
1544189693910,141,6 /black,404,Not Found,Users 1-1,text,false,,522,345,5,5,http://www.newtours.demoaut.com/black,141,0,0
1544189693990,143,6 /black,404,Not Found,Users 1-4,text,false,,522,345,5,5,http://www.newtours.demoaut.com/black,143,0,0
1544189693999,143,7 /favicon.ico,404,Not Found,Users 1-2,text,false,,528,368,5,5,http://www.newtours.demoaut.com/favicon.ico,143,0,0
1544189694142,5,8 /success.txt,200,OK,Users 1-2,text,true,,384,302,5,5,http://detectportal.firefox.com/success.txt,5,0,3
1544189694148,2,9 /success.txt,200,OK,Users 1-2,text,true,,384,302,5,5,http://detectportal.firefox.com/success.txt,2,0,0
1544189694048,142,6 /black,404,Not Found,Users 1-3,text,false,,522,345,5,5,http://www.newtours.demoaut.com/black,142,0,0
1544189694051,141,7 /favicon.ico,404,Not Found,Users 1-1,text,false,,528,368,5,5,http://www.newtours.demoaut.com/favicon.ico,141,0,0
1544189694192,5,8 /success.txt,200,OK,Users 1-1,text,true,,384,302,5,5,http://detectportal.firefox.com/success.txt,5,0,2
1544189694197,3,9 /success.txt,200,OK,Users 1-1,text,true,,384,302,5,5,http://detectportal.firefox.com/success.txt,3,0,0
1544189694133,143,7 /favicon.ico,404,Not Found,Users 1-4,text,false,,528,368,5,5,http://www.newtours.demoaut.com/favicon.ico,143,0,0
1544189694277,5,8 /success.txt,200,OK,Users 1-4,text,true,,384,302,5,5,http://detectportal.firefox.com/success.txt,5,0,2
1544189694282,4,9 /success.txt,200,OK,Users 1-4,text,true,,384,302,5,5,http://detectportal.firefox.com/success.txt,4,0,0
1544189694190,142,7 /favicon.ico,404,Not Found,Users 1-3,text,false,,528,368,5,5,http://www.newtours.demoaut.com/favicon.ico,142,0,0
1544189694332,5,8 /success.txt,200,OK,Users 1-3,text,true,,384,302,5,5,http://detectportal.firefox.com/success.txt,5,0,3
1544189694337,3,9 /success.txt,200,OK,Users 1-3,text,true,,384,302,5,5,http://detectportal.firefox.com/success.txt,3,0,0
1544189672600,37272,10 /login.php,200,OK,Users 1-5,text,false,"The operation lasted too long: It took 37,272 milliseconds, but should not have lasted longer than 1,000 milliseconds.",15535,1152,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,36760,0,0
1544189672600,36760,10 /login.php-0,302,Found,Users 1-5,text,true,,492,615,5,5,http://www.newtours.demoaut.com/login.php,36760,0,0
1544189709361,511,10 /login.php-1,200,OK,Users 1-5,text,true,,15043,537,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,371,0,140
1544189694286,15652,10 /login.php,200,OK,Users 1-4,text,false,"The operation lasted too long: It took 15,652 milliseconds, but should not have lasted longer than 1,000 milliseconds.",15535,1152,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,15117,0,0
1544189694286,15117,10 /login.php-0,302,Found,Users 1-4,text,true,,492,615,5,5,http://www.newtours.demoaut.com/login.php,15117,0,0
1544189709403,535,10 /login.php-1,200,OK,Users 1-4,text,true,,15043,537,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,395,0,140
1544189709873,141,13 /images/forms/continue.gif,200,OK,Users 1-5,bin,true,,749,419,5,5,http://newtours.demoaut.com/images/forms/continue.gif,141,0,0
1544189694200,15841,10 /login.php,200,OK,Users 1-1,text,false,"The operation lasted too long: It took 15,841 milliseconds, but should not have lasted longer than 1,000 milliseconds.",15571,1152,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,15326,0,0
1544189694200,15326,10 /login.php-0,302,Found,Users 1-1,text,true,,528,615,5,5,http://www.newtours.demoaut.com/login.php,15326,0,0
1544189709526,515,10 /login.php-1,200,OK,Users 1-1,text,true,,15043,537,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,375,0,141
1544189709939,142,13 /images/forms/continue.gif,200,OK,Users 1-4,bin,true,,749,419,5,5,http://newtours.demoaut.com/images/forms/continue.gif,142,0,0
1544189710015,141,12 /images/spacer.gif,404,Not Found,Users 1-5,text,false,,534,411,5,5,http://newtours.demoaut.com/images/spacer.gif,141,0,0
1544189694341,15835,10 /login.php,200,OK,Users 1-3,text,false,"The operation lasted too long: It took 15,835 milliseconds, but should not have lasted longer than 1,000 milliseconds.",15535,1152,5,5,http://newtours.demoaut.com/mercuryreservation.php?osCsid=5bba2f0ab8a265a8e6980f041540d71f,15230,0,0
